___,# Orgs,# IE,# People,Tracker,Start,Renewed,End,Mail archive,Q3 msgs,Q4 msgs,# TR 2 yrs,# CR/Rec 2 yrs,Last Rec
Audio Working Group,14,2,31,https://github.com/WebAudio,3/25/2011,9/26/2012,9/1/2016,http://lists.w3.org/Archives/Public/public-audio,272,89,2,0,
Authoring Tool Accessibility Guidelines Working Group,7,3,13,http://www.w3.org/WAI/AU/tracker/,12/1/1997,2/1/1999,9/30/2013,http://lists.w3.org/Archives/Public/w3c-wai-au,44,50,2,1,2000
Browser Testing and Tools Working Group,12,5,43,,10/12/2011,6/27/2014,12/31/2015,http://lists.w3.org/Archives/Public/public-browser-tools-testing@w3.org,169,81,1,0,
Cascading Style Sheets (CSS) Working Group,27,8,93,http://www.w3.org/Style/CSS/Tracker/,1997-02 (*),3/1/1999,6/15/2016,http://lists.w3.org/Archives/Public/www-style,1488,1525,36,11,2014
CSV on the Web Working Group,18,8,31,http://www.w3.org/2013/csvw/track/,12/10/2013,,7/30/2016,http://lists.w3.org/Archives/Public/public-csv-wg,142,261,3,0,
Data on the Web Best Practices Working Group,30,4,55,http://www.w3.org/2013/dwbp/track/,12/10/2013,,7/30/2016,http://lists.w3.org/Archives/Public/public-dwbp-wg,305,550,1,0,
Device APIs Working Group,39,1,105,http://www.w3.org/2009/dap/track/,(announced 2009-07-03),8/19/2011,12/31/2015,http://lists.w3.org/Archives/Public/public-device-apis,228,98,10,3,2015
Education and Outreach Working Group,13,13,37,http://www.w3.org/WAI/EO/track/,3/10/1998,11/1/2000,9/30/2013,http://lists.w3.org/Archives/Public/w3c-wai-eo,78,58,0,0,
Efficient XML Interchange Working Group,8,0,17,https://www.w3.org/2005/06/tracker/exi/,11/18/2005,1/11/2008,5/31/2015,http://lists.w3.org/Archives/Public/public-exi,0,2,4,2,2014
Evaluation and Repair Tools Working Group,6,1,9,http://www.w3.org/WAI/ER/tracker/,11/1/2000,6/21/2001,9/30/2013,http://lists.w3.org/Archives/Public/public-wai-ert,29,10,1,0,
Forms Working Group,7,2,13,https://www.w3.org/2005/06/tracker/xforms/,2000-06-23 (§),6/4/2002,3/31/2012,http://lists.w3.org/Archives/Public/public-forms,44,93,0,0,2009
Geolocation Working Group,11,0,30,http://www.w3.org/2008/geolocation/track/,9/19/2008,4/26/2010,12/31/2016,http://lists.w3.org/Archives/Public/public-geolocation,106,63,1,1,2013
HTML Working Group,63,124,402,http://www.w3.org/html/wg/test/track/,3/7/2007,9/30/2013,6/30/2015,http://lists.w3.org/Archives/Public/public-html,129,279,8,1,2014
Independent User Interface (Indie UI) Working Group,15,5,25,,5/22/2012,,4/30/2015,http://lists.w3.org/Archives/Public/public-indie-ui,54,113,3,0,
Internationalization Working Group,12,12,34,http://www.w3.org/International/track/,1998-02 (as I18N WG) 2005-01-07,3/8/2000,12/31/2015,http://lists.w3.org/Archives/Public/public-i18n-core and www-international,72,77,5,1,2005
Linked Data Platform (LDP) Working Group,31,2,55,http://www.w3.org/2012/ldp/track/,5/9/2012,,6/1/2014,http://lists.w3.org/Archives/Public/public-ldp-wg,279,184,7,2,2015
Math Working Group,13,4,22,https://www.w3.org/2005/06/tracker/math/,6/28/2006,5/14/2008,3/31/2016,http://lists.w3.org/Archives/Member/member-math,48,158,2,2,2014
Multimodal Interaction Working Group,17,4,30,https://www.w3.org/2002/mmi/Group/track/,2/25/2002,6/2/2004,3/31/2014,http://lists.w3.org/Archives/Public/www-multimodal,21,3,2,1,2014
Near Field Communications Working Group,9,0,19,,10/19/2012,,11/1/2014,http://lists.w3.org/Archives/Public/public-nfc,6,14,1,0,
Pointer Events Working Group,10,0,17,http://www.w3.org/2012/pointerevents/track/,11/9/2012,9/24/2014,5/9/2015,http://lists.w3.org/Archives/Public/public-pointer-events,163,103,1,1,2015
Protocols and Formats Working Group,25,12,67,https://www.w3.org/WAI/PF/Group/track/,12/1/1997,11/1/2000,9/30/2013,http://lists.w3.org/Archives/Public/w3c-wai-pf,75,110,8,3,2014
RDF Data Shapes Working Group,17,1,30,http://www.w3.org/2014/data-shapes/track/,9/30/2014,,6/1/2017,http://lists.w3.org/Archives/Public/public-data-shapes-wg,,700,,,
RDFa Working Group,6,4,10,http://www.w3.org/2010/02/rdfa/track/,2/2/2010,3/31/2011,9/30/2013,http://lists.w3.org/Archives/Public/public-rdfa,3,11,7,7,2013
Research and Development Working Group,8,11,24,http://www.w3.org/WAI/RD/tracker/,4/12/2011,7/10/2013,9/30/2013,http://lists.w3.org/Archives/Public/public-wai-rd,96,78,0,0,
Second Screen Presentation Working Group,14,0,30,,10/13/2014,,10/31/2016,http://lists.w3.org/Archives/Public/public-secondscreen,,76,,,
Social Web Working Group,16,15,46,http://www.w3.org/Social/track/,7/21/2014,,12/31/2016,http://lists.w3.org/Archives/Public/public-socialweb,255,431,2,0,
